Project Number:, Date of Completion or Last PM Check , Next Steps ,Monthly Status,PM
RET-JV 2020 Wi-Fi Refresh,44044,Accrual sheet to be sent to PM in August.,,#N/A
River Ridge Wi-fi,43983,Accrual sheet to be sent to PM in August.,,#N/A
Don Mills Parking Lot,44166,Accrual sheet to be sent to PM in August.,,#N/A
Holyrood Bathing Room Reno,44228,Accrual sheet to be sent to PM in August.,,Trevor Shoemaker
Wound & Skin Mgmt,44256,Accrual sheet to be sent to PM in August.,,#N/A
Telephone Systems - LTC,44357,Accrual sheet to be sent to PM in August.,,#N/A
LTC JV Telephone,44357,Accrual sheet to be sent to PM in August.,,#N/A
CCTV - LTC,44357,Accrual sheet to be sent to PM in August.,,#N/A
Elginwood Plumbing,43983,Accrual sheet to be sent to PM in August.,,#N/A
PCC for Manitoba,44357,Accrual sheet to be sent to PM in August.,,#N/A
Valley Stream Parking Lot,44348,Accrual sheet to be sent to PM in August.,,#N/A
Ascot UK,Third Party project,,,0
Summit Place Elevator Modern,44355,Accrual sheet sent 08/25/2021,,#N/A
Burloak HVAC,44075,Accrual sheet to be sent to PM in August.,,#N/A
Donway Nurse Call,44228,Accrual sheet to be sent to PM in August.,,#N/A
McGarrell Place Fire System,43983,Accrual sheet to be sent to PM in August.,,#N/A
Miller Crossing Phone System,44357,Accrual sheet to be sent to PM in August.,,#N/A
Retirement eMar Implementation,43831,,,#N/A
Site Switches LE1040,44357,Accrual sheet to be sent to PM in August.,,#N/A
Site Switches LE1042,44357,Accrual sheet to be sent to PM in August.,,#N/A
Azure 365 License,44256,Accrual sheet to be sent to PM in August.,,#N/A
Quotation Proposal,44256,Accrual sheet to be sent to PM in August.,,#N/A
LiveWell,44256,Accrual sheet to be sent to PM in August.,,#N/A
Talkdesk,44357,Accrual sheet to be sent to PM in August.,,#N/A
COVID-19 Emergency Agency,44357,Accrual sheet to be sent to PM in August.,,#N/A
COVID-19 Test Tracking - Phase I,44044,Accrual sheet to be sent to PM in August.,,#N/A
Ridgeview - Roof,43983,Accrual sheet to be sent to PM in August.,,Tim Morrison
King Gardens Chiller,44166,Accrual sheet to be sent to PM in August.,,Clint Stephenson
LTC Resident Safety System,43983,Accrual sheet to be sent to PM in August.,,#N/A
Cedardroft Generator,44277,Accrual sheet to be sent to PM in August.,,#N/A
HealthConnex Regal,44357,Accrual sheet to be sent to PM in August.,,#N/A
HealthConnex RET-JV,44357,Accrual sheet to be sent to PM in August.,,#N/A
LE1002 Carts Retrofit,44256,Accrual sheet to be sent to PM in August.,,#N/A
LE2503 Rubbermaid Retro Fit Cart,44348,Accrual sheet to be sent to PM in August.,,#N/A
LE1002 Rubbermaid Retro Fit Cart,44348,Accrual sheet to be sent to PM in August.,,#N/A
LE1043 Rubbermaid Retro Fit Cart,44348,Accrual sheet to be sent to PM in August.,,#N/A
Victoria Place Awning,Completion check Sent in Jan 2021,Completion check to be sent in August.,,#N/A
Telephone Replacement LTC JV BC,44357,Accrual sheet to be sent to PM in August.,,#N/A
Telephone Replacement - Fosterbrooke,44357,Accrual sheet to be sent to PM in August.,,#N/A
Dover Cliffs Telephone Replacement,44357,Accrual sheet to be sent to PM in August.,,#N/A
Heartwood Telephone Replacement,44357,Accrual sheet to be sent to PM in August.,,#N/A
Telephone Replacement - Humber Valley,44357,Accrual sheet to be sent to PM in August.,,#N/A
Telephone Replacement - Centennial Park Place,44357,Accrual sheet to be sent to PM in August.,,#N/A
Telephone Replacement - Queenswood,44357,Accrual sheet to be sent to PM in August.,,#N/A
Heritage Lodge Telephone Replacement,44357,Accrual sheet to be sent to PM in August.,,#N/A
Telephone Replacement - Alta Vista,44357,Accrual sheet to be sent to PM in August.,,#N/A
McKenzie Towne Telephone,44357,Accrual sheet to be sent to PM in August.,,#N/A
